Analyse de télémétrie - Seuil d'alerte: 5 A
========================================

  Axe 1: 0.00° | 0.0°/s | 0.000A 
  Axe 1: -5.24° | -52.4°/s | -7.000A 
  Axe 2: 23.50° | 235.0°/s | 7.490A 
  Axe 3: 108.47° | 1084.7°/s | 11.250A 
  Axe 4: 6.65° | 66.5°/s | 3.640A 
  Axe 5: 46.68° | 466.8°/s | 3.770A 
  Axe 6: -6.92° | -69.2°/s | -12.590A 

  Axe 1: -5.99° | -59.9°/s | -7.500A 
  Axe 2: 24.23° | 242.3°/s | 7.340A 
  Axe 3: 109.57° | 1095.7°/s | 11.030A 
  Axe 4: 7.01° | 70.1°/s | 3.570A 
  Axe 5: 47.05° | 470.5°/s | 3.700A 
  Axe 6: -8.31° | -83.1°/s | -13.850A 

  Axe 1: -6.79° | -67.9°/s | -8.000A 
  Axe 2: 24.95° | 249.5°/s | 7.190A 
  Axe 3: 110.65° | 1106.5°/s | 10.810A 
  Axe 4: 7.36° | 73.6°/s | 3.500A 
  Axe 5: 47.41° | 474.1°/s | 3.620A 
  Axe 6: -9.82° | -98.2°/s | -15.120A 

  Axe 1: -7.64° | -76.4°/s | -8.500A 
  Axe 2: 25.66° | 256.6°/s | 7.050A 
  Axe 3: 111.71° | 1117.1°/s | 10.590A 
  Axe 4: 7.70° | 77.0°/s | 3.430A 
  Axe 5: 47.77° | 477.7°/s | 3.550A 
  Axe 6: -11.46° | -114.6°/s | -16.380A 

  Axe 1: -8.54° | -85.4°/s | -9.000A 
  Axe 2: 26.35° | 263.5°/s | 6.910A 
  Axe 3: 112.75° | 1127.5°/s | 10.380A 
  Axe 4: 8.04° | 80.4°/s | 3.360A 
  Axe 5: 48.12° | 481.2°/s | 3.480A 
  Axe 6: -13.23° | -132.3°/s | -17.640A 

  Axe 1: -9.49° | -94.9°/s | -9.500A 
  Axe 2: 27.03° | 270.3°/s | 6.770A 
  Axe 3: 113.77° | 1137.7°/s | 10.170A 
  Axe 4: 8.37° | 83.7°/s | 3.290A 
  Axe 5: 48.46° | 484.6°/s | 3.410A 
  Axe 6: -15.12° | -151.2°/s | -18.900A 

  Axe 1: -10.49° | -104.9°/s | -10.000A 
  Axe 2: 27.69° | 276.9°/s | 6.640A 
  Axe 3: 114.76° | 1147.6°/s | 9.970A 
  Axe 4: 8.69° | 86.9°/s | 3.220A 
  Axe 5: 48.79° | 487.9°/s | 3.340A 
  Axe 6: -17.13° | -171.3°/s | -20.160A 

  Axe 1: -11.54° | -115.4°/s | -10.500A 
  Axe 2: 28.34° | 283.4°/s | 6.500A 
  Axe 3: 115.74° | 1157.4°/s | 9.770A 
  Axe 4: 9.00° | 90.0°/s | 3.160A 
  Axe 5: 49.12° | 491.2°/s | 3.270A 
  Axe 6: -19.27° | -192.7°/s | -21.420A 

  Axe 1: -12.64° | -126.4°/s | -10.980A 
  Axe 2: 28.98° | 289.8°/s | 6.370A 
  Axe 3: 116.70° | 1167.0°/s | 9.570A 
  Axe 4: 9.31° | 93.1°/s | 3.100A 
  Axe 5: 49.44° | 494.4°/s | 3.210A 
  Axe 6: -21.54° | -215.4°/s | -22.680A 

  Axe 1: -13.72° | -137.2°/s | -10.760A 
  Axe 2: 29.60° | 296.0°/s | 6.240A 
  Axe 3: 117.64° | 1176.4°/s | 9.380A 
  Axe 4: 9.62° | 96.2°/s | 3.030A 
  Axe 5: 49.76° | 497.6°/s | 3.140A 
  Axe 6: -23.94° | -239.4°/s | -23.940A 

  Axe 1: -14.77° | -147.7°/s | -10.540A 
  Axe 2: 30.22° | 302.2°/s | 6.120A 
  Axe 3: 118.56° | 1185.6°/s | 9.190A 
  Axe 4: 9.92° | 99.2°/s | 2.970A 
  Axe 5: 50.07° | 500.7°/s | 3.080A 
  Axe 6: -26.46° | -264.6°/s | -25.200A 

  Axe 1: -15.81° | -158.1°/s | -10.330A 
  Axe 2: 30.82° | 308.2°/s | 6.000A 
  Axe 3: 119.46° | 1194.6°/s | 9.010A 
  Axe 4: 10.21° | 102.1°/s | 2.910A 
  Axe 5: 50.37° | 503.7°/s | 3.020A 
  Axe 6: -29.10° | -291.0°/s | -26.460A 

  Axe 1: -16.82° | -168.2°/s | -10.130A 
  Axe 2: 31.40° | 314.0°/s | 5.880A 
  Axe 3: 120.34° | 1203.4°/s | 8.830A 
  Axe 4: 10.49° | 104.9°/s | 2.860A 
  Axe 5: 50.67° | 506.7°/s | 2.960A 
  Axe 6: -31.87° | -318.7°/s | -27.720A 

  Axe 1: -17.81° | -178.1°/s | -9.920A 
  Axe 2: 31.98° | 319.8°/s | 5.760A 
  Axe 3: 121.21° | 1212.1°/s | 8.650A 
  Axe 4: 10.77° | 107.7°/s | 2.800A 
  Axe 5: 50.96° | 509.6°/s | 2.900A 
  Axe 6: -34.77° | -347.7°/s | -28.980A 

  Axe 1: -18.79° | -187.9°/s | -9.720A 
  Axe 2: 32.55° | 325.5°/s | 5.640A 
  Axe 3: 122.06° | 1220.6°/s | 8.480A 
  Axe 4: 11.05° | 110.5°/s | 2.740A 
  Axe 5: 51.24° | 512.4°/s | 2.840A 
  Axe 6: -37.80° | -378.0°/s | -30.240A 

  Axe 1: -19.74° | -197.4°/s | -9.530A 
  Axe 2: 33.10° | 331.0°/s | 5.530A 
  Axe 3: 122.89° | 1228.9°/s | 8.310A 
  Axe 4: 11.32° | 113.2°/s | 2.690A 
  Axe 5: 51.52° | 515.2°/s | 2.780A 
  Axe 6: -40.95° | -409.5°/s | -31.500A 

  Axe 1: -20.68° | -206.8°/s | -9.340A 
  Axe 2: 33.64° | 336.4°/s | 5.420A 
  Axe 3: 123.71° | 1237.1°/s | 8.140A 
  Axe 4: 11.58° | 115.8°/s | 2.630A 
  Axe 5: 51.79° | 517.9°/s | 2.730A 
  Axe 6: -44.22° | -442.2°/s | -32.760A 

  Axe 1: -21.59° | -215.9°/s | -9.150A 
  Axe 2: 34.17° | 341.7°/s | 5.310A 
  Axe 3: 124.50° | 1245.0°/s | 7.980A 
  Axe 4: 11.84° | 118.4°/s | 2.580A 
  Axe 5: 52.06° | 520.6°/s | 2.670A 
  Axe 6: -47.62° | -476.2°/s | -34.020A 

========================================
STATISTIQUES
========================================
Octets lus          : 3914
Octets de bruit     : 38
Trames valides      : 100
Trames avec alerte  : 3
Séquence min        : 0
Séquence max        : 99
Trames perdues      : 98
========================================
